Datum deutsch	Nacht	Tag	Nacht	Sunrise Sommerzeit	Sunset Sommerzeit	Datum englisch
01.01.2019	09:31:11	07:33:30	06:55:19	09:31:11	17:04:41	2019-01-01
02.01.2019	09:31:01	07:34:48	06:54:11	09:31:01	17:05:49	2019-01-02
03.01.2019	09:30:47	07:36:13	06:53:00	09:30:47	17:07:00	2019-01-03
04.01.2019	09:30:29	07:37:45	06:51:46	09:30:29	17:08:14	2019-01-04
05.01.2019	09:30:08	07:39:22	06:50:30	09:30:08	17:09:30	2019-01-05
06.01.2019	09:29:43	07:41:07	06:49:10	09:29:43	17:10:50	2019-01-06
07.01.2019	09:29:14	07:42:58	06:47:48	09:29:14	17:12:12	2019-01-07
08.01.2019	09:28:42	07:44:54	06:46:24	09:28:42	17:13:36	2019-01-08
09.01.2019	09:28:06	07:46:57	06:44:57	09:28:06	17:15:03	2019-01-09
10.01.2019	09:27:27	07:49:05	06:43:28	09:27:27	17:16:32	2019-01-10
11.01.2019	09:26:45	07:51:19	06:41:56	09:26:45	17:18:04	2019-01-11
12.01.2019	09:25:59	07:53:38	06:40:23	09:25:59	17:19:37	2019-01-12
13.01.2019	09:25:10	07:56:03	06:38:47	09:25:10	17:21:13	2019-01-13
14.01.2019	09:24:18	07:58:33	06:37:09	09:24:18	17:22:51	2019-01-14
15.01.2019	09:23:22	08:01:08	06:35:30	09:23:22	17:24:30	2019-01-15
16.01.2019	09:22:24	08:03:47	06:33:49	09:22:24	17:26:11	2019-01-16
17.01.2019	09:21:22	08:06:32	06:32:06	09:21:22	17:27:54	2019-01-17
18.01.2019	09:20:18	08:09:21	06:30:21	09:20:18	17:29:39	2019-01-18
19.01.2019	09:19:10	08:12:15	06:28:35	09:19:10	17:31:25	2019-01-19
20.01.2019	09:18:00	08:15:12	06:26:48	09:18:00	17:33:12	2019-01-20
21.01.2019	09:16:46	08:18:15	06:24:59	09:16:46	17:35:01	2019-01-21
22.01.2019	09:15:30	08:21:21	06:23:09	09:15:30	17:36:51	2019-01-22
23.01.2019	09:14:12	08:24:30	06:21:18	09:14:12	17:38:42	2019-01-23
24.01.2019	09:12:51	08:27:43	06:19:26	09:12:51	17:40:34	2019-01-24
25.01.2019	09:11:27	08:31:00	06:17:33	09:11:27	17:42:27	2019-01-25
26.01.2019	09:10:00	08:34:21	06:15:39	09:10:00	17:44:21	2019-01-26
27.01.2019	09:08:32	08:37:44	06:13:44	09:08:32	17:46:16	2019-01-27
28.01.2019	09:07:01	08:41:10	06:11:49	09:07:01	17:48:11	2019-01-28
29.01.2019	09:05:27	08:44:41	06:09:52	09:05:27	17:50:08	2019-01-29
30.01.2019	09:03:51	08:48:13	06:07:56	09:03:51	17:52:04	2019-01-30
31.01.2019	09:02:14	08:51:48	06:05:58	09:02:14	17:54:02	2019-01-31
01.02.2019	09:00:34	08:55:26	06:04:00	09:00:34	17:56:00	2019-02-01
02.02.2019	08:58:52	08:59:06	06:02:02	08:58:52	17:57:58	2019-02-02
03.02.2019	08:57:08	09:02:48	06:00:04	08:57:08	17:59:56	2019-02-03
04.02.2019	08:55:22	09:06:33	05:58:05	08:55:22	18:01:55	2019-02-04
05.02.2019	08:53:34	09:10:20	05:56:06	08:53:34	18:03:54	2019-02-05
06.02.2019	08:51:44	09:14:09	05:54:07	08:51:44	18:05:53	2019-02-06
07.02.2019	08:49:53	09:18:00	05:52:07	08:49:53	18:07:53	2019-02-07
08.02.2019	08:48:00	09:21:53	05:50:07	08:48:00	18:09:53	2019-02-08
09.02.2019	08:46:05	09:25:47	05:48:08	08:46:05	18:11:52	2019-02-09
10.02.2019	08:44:08	09:29:44	05:46:08	08:44:08	18:13:52	2019-02-10
11.02.2019	08:42:10	09:33:41	05:44:09	08:42:10	18:15:51	2019-02-11
12.02.2019	08:40:11	09:37:40	05:42:09	08:40:11	18:17:51	2019-02-12
13.02.2019	08:38:10	09:41:41	05:40:09	08:38:10	18:19:51	2019-02-13
14.02.2019	08:36:08	09:45:42	05:38:10	08:36:08	18:21:50	2019-02-14
15.02.2019	08:34:04	09:49:45	05:36:11	08:34:04	18:23:49	2019-02-15
16.02.2019	08:31:59	09:53:49	05:34:12	08:31:59	18:25:48	2019-02-16
17.02.2019	08:29:53	09:57:54	05:32:13	08:29:53	18:27:47	2019-02-17
18.02.2019	08:27:45	10:02:01	05:30:14	08:27:45	18:29:46	2019-02-18
19.02.2019	08:25:37	10:06:08	05:28:15	08:25:37	18:31:45	2019-02-19
20.02.2019	08:23:27	10:10:16	05:26:17	08:23:27	18:33:43	2019-02-20
21.02.2019	08:21:16	10:14:25	05:24:19	08:21:16	18:35:41	2019-02-21
22.02.2019	08:19:04	10:18:35	05:22:21	08:19:04	18:37:39	2019-02-22
23.02.2019	08:16:51	10:22:46	05:20:23	08:16:51	18:39:37	2019-02-23
24.02.2019	08:14:37	10:26:57	05:18:26	08:14:37	18:41:34	2019-02-24
25.02.2019	08:12:23	10:31:08	05:16:29	08:12:23	18:43:31	2019-02-25
26.02.2019	08:10:07	10:35:21	05:14:32	08:10:07	18:45:28	2019-02-26
27.02.2019	08:07:51	10:39:33	05:12:36	08:07:51	18:47:24	2019-02-27
28.02.2019	08:05:33	10:43:48	05:10:39	08:05:33	18:49:21	2019-02-28
01.03.2019	08:03:15	10:48:02	05:08:43	08:03:15	18:51:17	2019-03-01
02.03.2019	08:00:57	10:52:15	05:06:48	08:00:57	18:53:12	2019-03-02
03.03.2019	07:58:37	10:56:30	05:04:53	07:58:37	18:55:07	2019-03-03
04.03.2019	07:56:17	11:00:45	05:02:58	07:56:17	18:57:02	2019-03-04
05.03.2019	07:53:56	11:05:01	05:01:03	07:53:56	18:58:57	2019-03-05
06.03.2019	07:51:35	11:09:17	04:59:08	07:51:35	19:00:52	2019-03-06
07.03.2019	07:49:13	11:13:33	04:57:14	07:49:13	19:02:46	2019-03-07
08.03.2019	07:46:51	11:17:49	04:55:20	07:46:51	19:04:40	2019-03-08
09.03.2019	07:44:28	11:22:05	04:53:27	07:44:28	19:06:33	2019-03-09
10.03.2019	07:42:05	11:26:22	04:51:33	07:42:05	19:08:27	2019-03-10
11.03.2019	07:39:41	11:30:39	04:49:40	07:39:41	19:10:20	2019-03-11
12.03.2019	07:37:17	11:34:56	04:47:47	07:37:17	19:12:13	2019-03-12
13.03.2019	07:34:52	11:39:13	04:45:55	07:34:52	19:14:05	2019-03-13
14.03.2019	07:32:27	11:43:31	04:44:02	07:32:27	19:15:58	2019-03-14
15.03.2019	07:30:02	11:47:48	04:42:10	07:30:02	19:17:50	2019-03-15
16.03.2019	07:27:37	11:52:05	04:40:18	07:27:37	19:19:42	2019-03-16
17.03.2019	07:25:11	11:56:23	04:38:26	07:25:11	19:21:34	2019-03-17
18.03.2019	07:22:45	12:00:40	04:36:35	07:22:45	19:23:25	2019-03-18
19.03.2019	07:20:19	12:04:58	04:34:43	07:20:19	19:25:17	2019-03-19
20.03.2019	07:17:53	12:09:15	04:32:52	07:17:53	19:27:08	2019-03-20
21.03.2019	07:15:27	12:13:32	04:31:01	07:15:27	19:28:59	2019-03-21
22.03.2019	07:13:01	12:17:49	04:29:10	07:13:01	19:30:50	2019-03-22
23.03.2019	07:10:34	12:22:07	04:27:19	07:10:34	19:32:41	2019-03-23
24.03.2019	07:08:08	12:26:24	04:25:28	07:08:08	19:34:32	2019-03-24
25.03.2019	07:05:41	12:30:41	04:23:38	07:05:41	19:36:22	2019-03-25
26.03.2019	07:03:15	12:34:58	04:21:47	07:03:15	19:38:13	2019-03-26
27.03.2019	07:00:49	12:39:14	04:19:57	07:00:49	19:40:03	2019-03-27
28.03.2019	06:58:22	12:43:31	04:18:07	06:58:22	19:41:53	2019-03-28
29.03.2019	06:55:56	12:47:48	04:16:16	06:55:56	19:43:44	2019-03-29
30.03.2019	06:53:30	12:52:04	04:14:26	06:53:30	19:45:34	2019-03-30
31.03.2019	06:51:04	12:56:20	04:12:36	06:51:04	19:47:24	2019-03-31
01.04.2019	06:48:39	13:00:35	04:10:46	06:48:39	19:49:14	2019-04-01
02.04.2019	06:46:13	13:04:51	04:08:56	06:46:13	19:51:04	2019-04-02
03.04.2019	06:43:48	13:09:07	04:07:05	06:43:48	19:52:55	2019-04-03
04.04.2019	06:41:24	13:13:21	04:05:15	06:41:24	19:54:45	2019-04-04
05.04.2019	06:38:59	13:17:36	04:03:25	06:38:59	19:56:35	2019-04-05
06.04.2019	06:36:35	13:21:50	04:01:35	06:36:35	19:58:25	2019-04-06
07.04.2019	06:34:11	13:26:04	03:59:45	06:34:11	20:00:15	2019-04-07
08.04.2019	06:31:48	13:30:17	03:57:55	06:31:48	20:02:05	2019-04-08
09.04.2019	06:29:25	13:34:30	03:56:05	06:29:25	20:03:55	2019-04-09
10.04.2019	06:27:03	13:38:42	03:54:15	06:27:03	20:05:45	2019-04-10
11.04.2019	06:24:41	13:42:54	03:52:25	06:24:41	20:07:35	2019-04-11
12.04.2019	06:22:20	13:47:05	03:50:35	06:22:20	20:09:25	2019-04-12
13.04.2019	06:19:59	13:51:16	03:48:45	06:19:59	20:11:15	2019-04-13
14.04.2019	06:17:39	13:55:26	03:46:55	06:17:39	20:13:05	2019-04-14
15.04.2019	06:15:20	13:59:35	03:45:05	06:15:20	20:14:55	2019-04-15
16.04.2019	06:13:01	14:03:44	03:43:15	06:13:01	20:16:45	2019-04-16
17.04.2019	06:10:43	14:07:53	03:41:24	06:10:43	20:18:36	2019-04-17
18.04.2019	06:08:26	14:12:00	03:39:34	06:08:26	20:20:26	2019-04-18
19.04.2019	06:06:10	14:16:06	03:37:44	06:06:10	20:22:16	2019-04-19
20.04.2019	06:03:54	14:20:12	03:35:54	06:03:54	20:24:06	2019-04-20
21.04.2019	06:01:39	14:24:17	03:34:04	06:01:39	20:25:56	2019-04-21
22.04.2019	05:59:26	14:28:19	03:32:15	05:59:26	20:27:45	2019-04-22
23.04.2019	05:57:13	14:32:22	03:30:25	05:57:13	20:29:35	2019-04-23
24.04.2019	05:55:01	14:36:24	03:28:35	05:55:01	20:31:25	2019-04-24
25.04.2019	05:52:50	14:40:24	03:26:46	05:52:50	20:33:14	2019-04-25
26.04.2019	05:50:41	14:44:23	03:24:56	05:50:41	20:35:04	2019-04-26
27.04.2019	05:48:32	14:48:21	03:23:07	05:48:32	20:36:53	2019-04-27
28.04.2019	05:46:25	14:52:17	03:21:18	05:46:25	20:38:42	2019-04-28
29.04.2019	05:44:19	14:56:12	03:19:29	05:44:19	20:40:31	2019-04-29
30.04.2019	05:42:14	15:00:06	03:17:40	05:42:14	20:42:20	2019-04-30
01.05.2019	05:40:10	15:03:58	03:15:52	05:40:10	20:44:08	2019-05-01
02.05.2019	05:38:08	15:07:48	03:14:04	05:38:08	20:45:56	2019-05-02
03.05.2019	05:36:07	15:11:37	03:12:16	05:36:07	20:47:44	2019-05-03
04.05.2019	05:34:08	15:15:23	03:10:29	05:34:08	20:49:31	2019-05-04
05.05.2019	05:32:10	15:19:08	03:08:42	05:32:10	20:51:18	2019-05-05
06.05.2019	05:30:13	15:22:51	03:06:56	05:30:13	20:53:04	2019-05-06
07.05.2019	05:28:18	15:26:32	03:05:10	05:28:18	20:54:50	2019-05-07
08.05.2019	05:26:25	15:30:11	03:03:24	05:26:25	20:56:36	2019-05-08
09.05.2019	05:24:34	15:33:46	03:01:40	05:24:34	20:58:20	2019-05-09
10.05.2019	05:22:44	15:37:20	02:59:56	05:22:44	21:00:04	2019-05-10
11.05.2019	05:20:56	15:40:52	02:58:12	05:20:56	21:01:48	2019-05-11
12.05.2019	05:19:10	15:44:20	02:56:30	05:19:10	21:03:30	2019-05-12
13.05.2019	05:17:26	15:47:46	02:54:48	05:17:26	21:05:12	2019-05-13
14.05.2019	05:15:44	15:51:09	02:53:07	05:15:44	21:06:53	2019-05-14
15.05.2019	05:14:04	15:54:29	02:51:27	05:14:04	21:08:33	2019-05-15
16.05.2019	05:12:26	15:57:46	02:49:48	05:12:26	21:10:12	2019-05-16
17.05.2019	05:10:50	16:01:00	02:48:10	05:10:50	21:11:50	2019-05-17
18.05.2019	05:09:16	16:04:11	02:46:33	05:09:16	21:13:27	2019-05-18
19.05.2019	05:07:45	16:07:18	02:44:57	05:07:45	21:15:03	2019-05-19
20.05.2019	05:06:16	16:10:21	02:43:23	05:06:16	21:16:37	2019-05-20
21.05.2019	05:04:49	16:13:21	02:41:50	05:04:49	21:18:10	2019-05-21
22.05.2019	05:03:25	16:16:17	02:40:18	05:03:25	21:19:42	2019-05-22
23.05.2019	05:02:03	16:19:09	02:38:48	05:02:03	21:21:12	2019-05-23
24.05.2019	05:00:43	16:21:57	02:37:20	05:00:43	21:22:40	2019-05-24
25.05.2019	04:59:27	16:24:40	02:35:53	04:59:27	21:24:07	2019-05-25
26.05.2019	04:58:13	16:27:19	02:34:28	04:58:13	21:25:32	2019-05-26
27.05.2019	04:57:01	16:29:54	02:33:05	04:57:01	21:26:55	2019-05-27
28.05.2019	04:55:53	16:32:24	02:31:43	04:55:53	21:28:17	2019-05-28
29.05.2019	04:54:47	16:34:49	02:30:24	04:54:47	21:29:36	2019-05-29
30.05.2019	04:53:44	16:37:10	02:29:06	04:53:44	21:30:54	2019-05-30
31.05.2019	04:52:44	16:39:25	02:27:51	04:52:44	21:32:09	2019-05-31
01.06.2019	04:51:47	16:41:35	02:26:38	04:51:47	21:33:22	2019-06-01
02.06.2019	04:50:54	16:43:39	02:25:27	04:50:54	21:34:33	2019-06-02
03.06.2019	04:50:03	16:45:38	02:24:19	04:50:03	21:35:41	2019-06-03
04.06.2019	04:49:15	16:47:32	02:23:13	04:49:15	21:36:47	2019-06-04
05.06.2019	04:48:31	16:49:19	02:22:10	04:48:31	21:37:50	2019-06-05
06.06.2019	04:47:49	16:51:02	02:21:09	04:47:49	21:38:51	2019-06-06
07.06.2019	04:47:11	16:52:38	02:20:11	04:47:11	21:39:49	2019-06-07
08.06.2019	04:46:37	16:54:07	02:19:16	04:46:37	21:40:44	2019-06-08
09.06.2019	04:46:05	16:55:32	02:18:23	04:46:05	21:41:37	2019-06-09
10.06.2019	04:45:37	16:56:49	02:17:34	04:45:37	21:42:26	2019-06-10
11.06.2019	04:45:12	16:58:01	02:16:47	04:45:12	21:43:13	2019-06-11
12.06.2019	04:44:51	16:59:06	02:16:03	04:44:51	21:43:57	2019-06-12
13.06.2019	04:44:33	17:00:04	02:15:23	04:44:33	21:44:37	2019-06-13
14.06.2019	04:44:19	17:00:56	02:14:45	04:44:19	21:45:15	2019-06-14
15.06.2019	04:44:08	17:01:41	02:14:11	04:44:08	21:45:49	2019-06-15
16.06.2019	04:44:00	17:02:20	02:13:40	04:44:00	21:46:20	2019-06-16
17.06.2019	04:43:56	17:02:51	02:13:13	04:43:56	21:46:47	2019-06-17
18.06.2019	04:43:55	17:03:17	02:12:48	04:43:55	21:47:12	2019-06-18
19.06.2019	04:43:58	17:03:35	02:12:27	04:43:58	21:47:33	2019-06-19
20.06.2019	04:44:04	17:03:46	02:12:10	04:44:04	21:47:50	2019-06-20
21.06.2019	04:44:14	17:03:51	02:11:55	04:44:14	21:48:05	2019-06-21
22.06.2019	04:44:27	17:03:48	02:11:45	04:44:27	21:48:15	2019-06-22
23.06.2019	04:44:43	17:03:40	02:11:37	04:44:43	21:48:23	2019-06-23
24.06.2019	04:45:02	17:03:24	02:11:34	04:45:02	21:48:26	2019-06-24
25.06.2019	04:45:25	17:03:02	02:11:33	04:45:25	21:48:27	2019-06-25
26.06.2019	04:45:52	17:02:32	02:11:36	04:45:52	21:48:24	2019-06-26
27.06.2019	04:46:21	17:01:56	02:11:43	04:46:21	21:48:17	2019-06-27
28.06.2019	04:46:54	17:01:13	02:11:53	04:46:54	21:48:07	2019-06-28
29.06.2019	04:47:29	17:00:24	02:12:07	04:47:29	21:47:53	2019-06-29
30.06.2019	04:48:08	16:59:28	02:12:24	04:48:08	21:47:36	2019-06-30
